time,"Trace Velocity, Target, Actual (mph)(1)",EngSpd,EngTrq,BSFC,FuelEconomy,FuelVolFlw,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km)
1553,58.533166308756854,2452.691473701711,87.06982037675779,265.8417050130288,8.930019350462725,2.2255345435223205e-06,0.010959046398724186,0.05583688673965722,0.0408299141994326,0
1554,58.96812614332298,2473.226210321745,87.03624440729286,266.6872441744999,8.929648070381923,2.224709774467809e-06,0.010958726522872152,0.05583516318938309,0.040847633594935255,0
1555,59.465223097112855,2493.8022633534147,88.61730900806887,264.9946409580233,8.92931952971761,2.289649351020656e-06,0.01095846237204486,0.05583371417933727,0.04086591352054012,0
1556,60.02445717012645,2516.321947116134,92.52712782756817,262.444506890406,8.92942363522281,2.3987527006612106e-06,0.010958743257891375,0.05583494660093058,0.040887546251356044,0
1557,60.70796548158752,2542.5655702148238,99.23568496903327,263.6141409643298,8.93038880234954,2.6347831810238017e-06,0.010959938062440455,0.05584070685277425,0.0409147148164686,0
1558,61.45361091227232,2573.0734268133783,105.37869086677631,271.21692951078535,8.932911869124808,2.906570851503586e-06,0.01096217876078453,0.05585184712765396,0.04094850214976626,0
1559,62.385667700628325,2608.715842022081,114.97909656767757,282.7302031132438,8.937487830351738,3.3696695204650783e-06,0.010965668692043054,0.05586949153599971,0.04099027710329269,0
1560,63.37986160820805,2649.9116638852825,122.89295300909578,285.59281389694434,8.944236473134037,3.6680449376709193e-06,0.010970665323171766,0.05589483791522954,0.04104143858399981,0
1561,64.37405551578779,2693.3813092907403,126.23564042106312,286.9678598322849,8.95209300141451,3.8233100524902745e-06,0.010976507624975877,0.055924461191116374,0.041098071497030694,0
1562,65.36824942336753,2737.1138187726788,127.72730370260487,287.9122004922908,8.960472567966606,3.93956351850591e-06,0.01098273492466233,0.0559560492409815,0.04115754243127254,0
1563,66.36244333094726,2780.714350093337,128.9880969935408,288.63918245680014,8.969264672940357,4.050625894476337e-06,0.010989267729151474,0.05598920274241544,0.041219392567067546,0
1564,67.41877435775073,2825.4821009307084,132.7178487382124,288.74721483246066,8.978727274485681,4.250191141342352e-06,0.010996360806936013,0.056025200157774915,0.04128509452816754,0
1565,68.4751053845542,2871.748418613158,135.50115073734904,288.61028738834193,8.988986383407843,4.391064840043226e-06,0.011004161925780638,0.05606478394333069,0.04135552252718911,0
