time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,L/100km,TP HC Mass (g/km),TP CO Mass (g/km),TP NOx Mass (g/km),TP CO2 Mass (g/km),fuel(g/s),Battery power,BattPwrLoss
76,37.4,3.839157374666005,3072.232169176824,-934.9104464758586,0.0,17.695721196673798,-1.4826828298650783,45.7874305682655,75.66349426374248,0.0,0.0,0.0,0.0,0,0.0,6596.006791142748,65.29180952659273
77,38.5,3.969356590320215,3154.018630542889,-959.7383210306197,0.0,19.89271417265259,-1.538830393020005,52.81586439537846,75.5212236431909,0.0,0.0,0.0,0.0,0,0.0,7594.427940084795,86.88704733384222
78,39.3,3.698490001897742,3224.8259501344114,-982.0652390862161,0.0,16.741049916546448,-1.5424310865062676,45.67513439370388,75.38188708210255,0.0,0.0,0.0,0.0,0,0.0,6575.679188503935,64.98973583204462
79,39.5,2.8908462447361525,3252.067253783102,-992.179402614375,0.0,8.96850555955815,-1.4833067959255128,25.215301806226677,75.28555154550193,0.0,0.0,0.0,0.0,0,0.0,3645.4090941706895,19.808615765525992
80,39.0,1.6956421592714015,3217.768868215775,-984.2391500130541,0.0,-1.1062116610128079,-1.3780214119325804,-1.0448756122246696,75.25726801249424,0.0,0.0,0.0,0.0,0,0.0,-151.90402685653987,0.03401472118554378
81,38.5,1.1617165321808338,3164.2237626934975,-968.9549229915065,0.0,-0.6844364195215504,-1.3496147516758015,-0.20070490964411655,75.25961561141065,0.0,0.0,0.0,0.0,0,0.0,-29.173409624188054,0.0012550260240427207
82,37.3,0.1642333985196839,3070.146537212053,-942.2330648940194,0.0,-6.727177791161248,-1.2458991193101605,-12.131746136540373,75.28868449742164,0.0,0.0,0.0,0.0,0,0.0,-1768.0331644422797,4.585335222378618
83,37.0,0.5900066789008973,3029.6360872684477,-928.8725048010834,0.0,1.820421306777109,-1.3117520047877385,5.633498591573028,75.2852222299467,0.0,0.0,0.0,0.0,0,0.0,817.8801974731368,0.988740459123073
84,36.7,0.547663685839103,2999.9829241777006,-919.8605973023172,0.0,2.62062127482527,-1.3088224302483964,7.529597184524171,75.26584502882748,0.0,0.0,0.0,0.0,0,0.0,1092.6648463965205,1.7663533828617701
85,35.9,-0.12272888846432779,2941.523184585425,-903.3651307945257,0.0,-2.7583623032314453,-1.232492718924184,-4.171420118493308,75.26830510128309,0.0,0.0,0.0,0.0,0,0.0,-606.8636461396353,0.5421268686797563
86,35.3,-0.24060090556218763,2888.7914799207365,-887.4309226889401,0.0,-0.9512366270581402,-1.225780502014487,-0.7656359059208468,75.27232974396783,0.0,0.0,0.0,0.0,0,0.0,-111.30550199330501,0.018263161285035842
87,34.6,-0.5102101781791392,2831.552790313595,-870.4418442949792,0.0,-1.8098791881671847,-1.1923465637423394,-2.3165583398609346,75.27820648168607,0.0,0.0,0.0,0.0,0,0.0,-336.8896958509673,0.16719195344004992
88,34.2,-0.39878403333591383,2792.679167261441,-858.2652484604546,0.0,1.2484282533306499,-1.2048553834699887,3.835169174912673,75.27247717149478,0.0,0.0,0.0,0.0,0,0.0,556.9942663913869,0.4582477695277984
89,31.9,-2.3658919423965976,2639.2281713879815,-815.4159333343226,0.0,-16.53728198938094,-0.9583296626715945,-26.687176402457023,75.33274092909004,0.0,0.0,0.0,0.0,0,0.0,-3901.776508669221,22.18764004145783
90,27.3,-5.348528364384049,2326.767970395777,-725.9480086641116,0.0,-38.6362440312367,-0.5895293659694059,-57.28893168940499,75.48583302641596,0.0,0.0,0.0,0.0,0,0.0,-8433.409825692572,102.23100976136293
91,22.0,-7.291376917361593,1946.9272989212216,-613.5396402599001,0.0,-46.93872799991567,-0.3282984392393376,-57.85003666433301,75.65970103570685,0.0,0.0,0.0,0.0,0,0.0,-8520.360042931172,104.22575223024084
92,17.0,-8.188450510248753,1568.1548510304303,-499.1931783357221,0.0,-45.91977834902876,-0.16611838232181503,-45.26694759356517,75.80480619981972,0.0,0.0,0.0,0.0,0,0.0,-6651.518429748638,63.807081422705465
93,14.2,-6.961613801185224,1313.7031808566169,-418.4131791711783,0.0,-27.07942269321032,-0.24505214425065955,-21.98514172457771,75.88384258593656,0.0,0.0,0.0,0.0,0,0.0,-3215.128765407194,15.049830359259005
94,12.0,-6.4060990737320855,1115.9944740555777,-356.5073130142015,0.0,-16.03291554046487,-0.2299929248110622,-10.90140162167779,75.9265991615752,0.0,0.0,0.0,0.0,0,0.0,-1590.625138261247,3.7001529715662707
95,9.1,-7.02435392368477,891.5993377844591,-288.95215659974536,0.0,-11.944466326248202,-0.08145794265579204,-6.524448340077795,75.95393582110994,0.0,0.0,0.0,0.0,0,0.0,-951.1536316496948,1.3253514013809264
96,5.8,-7.631849187624317,645.2310415715984,-214.6270898127351,0.0,-1.0971471942014603,0.05890913774929296,-0.45419430245612297,75.96417384751155,0.0,0.0,0.0,0.0,0,0.0,-66.12950473843026,0.0064227717117303195
97,3.6,-7.079726089458846,449.8305706716448,-153.44526756269408,0.0,-2.81683107204051e-09,0.06346141990752227,-0.005449036227257905,75.96425939557601,0.0,0.0,0.0,0.0,0,0.0,-0.7932885008763332,9.244394623116832e-07
98,2.2,-6.339569651176888,308.08121371025703,-108.32206470037616,0.0,-4.022089256370837e-14,0.05156656528896028,-0.003128058914083346,75.96426785684403,0.0,0.0,0.0,0.0,0,0.0,-0.45539282201152487,3.0464140535663986e-07
99,0.0,-6.81374707137556,136.42038936381303,-56.646556501725755,0.0,-8.925154872430319e-15,0.18515870605305845,-0.006034498946799677,75.96428519328371,0.0,0.0,0.0,0.0,0,0.0,-0.8785222399370138,1.1337609812109951e-06
