time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,Battery power,<BattPwrLoss>
1386,36.7,-52.685506293388244,3047.8051182216614,-1049.8844810717899,1.6661245097534753e-25,19.739421905190824,-1.5308257003540091,51.33051694812371,71.40247284677896,7302.9664341772705,82.39744205299111
1387,37.6,-47.88722330653896,3110.9119332234322,-1058.8603299060971,1.122055821116448e-27,15.431688373539004,-1.507311120835019,41.22097066719758,71.30781162887813,5876.39288085095,53.14209894739549
1388,39.4,-42.05205664800047,3222.5148922665735,-1080.4791550826596,7.556513683887852e-30,27.39735895084678,-1.6584272741973134,74.5517617815361,71.17983571620947,10547.099712379744,173.84889216535066
1389,42.5,-35.63693074429451,3445.363530891382,-1134.99756104282,5.088953506606185e-32,45.60214161456435,-1.924363383320652,131.1289244026827,70.95186040556396,18309.421808822273,537.9587549731381
1390,46.5,-29.6852529692175,3765.2524785034616,-1220.3148336724992,3.4271687812355123e-34,58.51482045082485,-2.189007373461666,182.69702567678283,70.60916407315709,25196.204038318843,1044.62164306109
1391,50.2,-25.35736303815095,4096.326395938787,-1312.585621382446,2.308035599033866e-36,56.74352715982995,-2.319652274611469,191.82500153361568,70.20919174523995,26377.020999599514,1152.0586530389216
1392,52.8,-22.78391694063653,4353.352818959181,-1385.923783306534,1.5543524893125326e-38,43.0647651284994,-2.301664236481282,155.97465631992793,69.8422684966422,21599.677725695263,761.9498729964146
1393,54.3,-21.205317268753685,4504.923684268403,-1429.038572088408,1.0467826674958572e-40,27.398267392991336,-2.2173296188199156,104.74153008273825,69.57152934913921,14658.071978724043,343.6923499209055
1394,54.9,-20.027024216517518,4562.119441839165,-1444.0450223709818,7.0495847016938736e-43,14.247923212193738,-2.1155053827025383,57.02819099645855,69.40613398807828,8061.160995129411,101.90152436040918
1395,54.9,-18.895451233875665,4552.75457758848,-1438.717043375599,4.747560884366002e-45,5.56838772899063,-2.0271574546538647,23.67059748688987,69.32665811894108,3369.702602678698,17.55712090387137
1396,54.7,-17.528499393632888,4514.30743350796,-1423.9500616529244,3.1972570448506494e-47,2.8012258304894857,-1.9817800832909285,13.020290759281195,69.2911456975801,1857.6543416461423,5.312404476419344
1397,54.1,-16.38858736042168,4452.209306525939,-1402.414327825045,2.1532009509367733e-49,-1.2572229182476793,-1.917462128073523,-1.2967507433129921,69.2825926926405,-185.58855571999771,0.052694631366029615
1398,53.2,-15.357847244319697,4368.221655357647,-1374.3958321875648,1.4500786987339588e-51,-3.5442445278620127,-1.8560164414011362,-7.897253882837439,69.29842414273651,-1131.9377399221141,1.954334564032915
1399,52.1,-14.386374425888535,4274.386517080966,-1343.4820830573453,9.765592159928962e-54,-5.322351671628946,-1.7975412271642819,-12.8249145476166,69.32460551699803,-1840.3882929208078,5.154003165754697
1400,50.7,-13.676452478502094,4161.9112500091005,-1307.4121723577239,6.576663067827242e-56,-8.445424371994024,-1.719101805682107,-21.209916018776134,69.36701594344767,-3049.6821830923777,14.095997443570122
1401,49.1,-13.044306699772868,4035.704016631959,-1267.2947456161603,4.429070598012506e-58,-10.776226632239796,-1.641714103380606,-27.015413907561864,69.42251451969905,-3890.1191700551176,22.867456600746724
1402,47.4,-12.434869123171435,3901.695059316331,-1224.8312036484872,2.982768945263864e-60,-12.169580414948992,-1.5696868440198317,-29.681712067129006,69.4851568740199,-4277.497784961909,27.602359244554204
1403,45.2,-12.322958833406307,3733.3844206645654,-1172.914555886213,2.0087533905697684e-62,-17.81361573274256,-1.4443892433849874,-41.929204157579775,69.57099740776962,-6060.460069676367,55.07639421304844
1404,41.8,-13.132748469576207,3482.9485796342683,-1097.7812366972232,1.3528001190077401e-64,-31.139194977794578,-1.2130086658186288,-69.57678847351866,69.71191941077203,-10121.973220213624,151.63583060865082
1405,36.5,-15.023934748460851,3100.988976664228,-984.6109640439668,9.110682406412056e-67,-52.51536893273282,-0.8507368204426606,-104.97197582943373,69.93045687896745,-15399.448335340996,345.08654303324454
1406,31.2,-15.5108078102396,2702.6893772145745,-863.3804596673186,6.135612415887474e-69,-54.56114473336175,-0.6508370231239047,-95.03333648248176,70.14452088024883,-13919.307007790783,282.77648898032413
1407,27.6,-14.127933445357641,2402.3545139098387,-768.1754630075227,4.1321884593500545e-71,-38.19008527834848,-0.6630821725831855,-59.17952459126938,70.28832692455426,-8603.947291254337,109.64121991741578
1408,26.9,-10.946997495964125,2291.0713816588886,-727.1167105524144,2.7830306177214346e-73,-7.9286497541439065,-0.8919904367900621,-10.981999411627829,70.33082331142549,-1580.2087585532527,3.7755122888958925
