time,Trace Velocity,EngSpd,MotSpd,GenSpd ,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,Battery power,<BattPwrLoss>
857,63.5,1082.665412321277,5205.990201174294,747.4448274114482,100.4748899820232,-4.150747550676863,-46.586209544324845,-34.40286651090161,64.47745243619678,-4901.471470241157,37.26106801634774
858,64.5,1432.4316854036808,5252.975877720989,1490.8482160849292,104.40418941708366,5.818536439357275,-43.095693136042,-14.381237802591626,64.53768353651907,-2040.0945956719838,6.510785729919781
859,65.8,1720.003553892228,5354.505434707881,2082.7482442450478,106.89505946471547,12.130305324478673,-45.33708082877624,-7.029281898424829,64.56158972557301,-995.5759042346211,1.5554383321631928
860,66.8,1697.5513255110832,5459.601084150387,2001.8337538628489,107.05306707892194,9.879996533444025,-48.99423268480655,-18.576274168403135,64.60481342936758,-2637.96616910914,10.862506180918146
861,67.4,1507.0685626224779,5530.860677241964,1567.2426984683052,106.13495809616163,4.0952134404715785,-50.43344445511749,-31.254369992548305,64.68499038603103,-4451.469071656529,30.74686207518742
862,68.8,1761.956385341516,5619.805087919766,2092.1951326526037,107.08950886952017,11.257749832973696,-44.76041712116593,-7.418676464976798,64.72675375613422,-1051.1364538521345,1.7322665061153149
863,71.1,2277.1972564067046,5785.442110910653,3157.6998413385204,101.00427331761321,25.320929533931128,-39.83439139252896,37.451589577728356,64.66699795833624,5252.989092669119,44.14965687854222
864,72.3,1993.0222326245525,5934.371840832171,2496.2547309812594,107.11246523800222,14.259889845992495,-50.6653344713228,-12.953863638363584,64.65491092130112,-1837.4103841306105,5.281904150414299
865,72.8,1596.5511409623034,6002.58337875195,1616.2936100212003,106.80144773465187,3.0343322562685096,-52.91578915146668,-39.340886189843275,64.7515826733245,-5613.897187869398,48.71242430808393
866,73.4,1500.7684954858198,6037.689434036245,1397.98862984342,105.95618376581464,1.464146541017107,-48.65879353320046,-34.69450748650863,64.85689106726134,-4946.739170389951,37.88165103902727
867,74.6,1782.2187763130114,6102.716447502999,1987.8348355382568,107.1642932254945,8.618273399986938,-44.555873621358934,-12.140811607769432,64.91326164184147,-1722.5964718258053,4.6385187859864025
868,76.0,2037.1512644301918,6208.404474627112,2507.7401132907453,107.76172415132059,13.766263193538215,-45.42308767244184,-2.399252137793504,64.92869860155757,-339.6913712133982,0.18114619114185404
869,76.6,1787.655610771878,6290.814524388788,1941.861479794218,107.6206608214431,6.357828687677115,-52.08368333497393,-31.619026432491026,64.99753926582564,-4506.31582807555,31.45905204322826
870,76.5,1353.572247789181,6305.924093239349,996.7087486456863,104.97390179122128,-3.783682893624103,-53.22167486269397,-47.15213815822987,65.12934977475356,-6746.774404047892,69.95138427387508
871,76.2,995.0254468726499,6296.241678261051,222.8324000932648,99.64716571178981,-4.299553733894404,-52.30779468651904,-24.80579728669205,65.23617593078438,-3533.4830237137257,19.357766184275082
872,75.8,662.0647964843844,6269.061263899168,-490.2355253732376,76.55485278313526,-4.708562979888305,-39.8584809338122,-1.7835714268915734,65.2691065968804,-252.80393160771328,0.10007281122553974
873,75.4,496.8915434537344,6200.066647247843,-826.9303881467281,40.095976611424824,-5.358722080854562,-22.05650239663352,-4.70744151495746,65.27838884410646,-667.6933876124189,0.6971096132068028
874,74.8,477.0222007883033,6122.6976925676045,-846.2283582867259,46.15084414401433,-5.622545814983666,-21.968840098344135,-4.834294901122269,65.2926360596535,-685.7463710436894,0.7351763479797816
875,73.9,518.217282972888,6049.781415258238,-734.584337151659,45.23220275900641,-5.736760077212576,-22.49338119684949,-6.953506292926773,65.30867045482516,-986.8858995980543,1.520989602830662
876,72.7,478.73012625247776,5961.675982434637,-793.0885547289847,17.390232752368952,-5.537475607889272,-11.586007013359804,-12.283780688316856,65.33548444433436,-1745.6454893238324,4.746477592205244
877,71.3,405.14139871700826,5852.075343060756,-918.8901967099873,-5.122678967411337,-5.700830325777392,0.014250285820601234,-20.907787665176922,65.37559681763152,-2977.3333888704974,13.750127073976028
878,70.4,412.39653970945494,5766.601394700681,-876.9217025945898,-4.293313413322782,-0.8850340622604878,0.8850949055797523,-3.6599271830796054,65.39729264331781,-519.2535593293725,0.421333863225698
879,70.0,469.35989036527235,5690.999506744854,-730.2937967064232,20.75834799191586,-0.6650027928388835,-7.929829124390263,3.2088670518504494,65.40431381988661,454.5789742030871,0.32387840137013296
880,70.0,923.3556935767325,5649.594571455511,266.07639660160817,85.99064139561321,-4.669326833383635,-28.516478706789627,-19.947150224833745,65.4136242713138,-2840.403929688604,12.515158713509154
881,69.0,868.9286427556884,5635.893269261492,152.36165153448997,87.56319260541073,-4.553918348351606,-47.410199040063965,-21.459428001958358,65.4868861430243,-3057.7282012566643,14.483725457503466
882,68.0,677.6025005411992,5582.65785174959,-245.8313390177558,23.869777249096593,-4.525717378808184,-17.68424074824265,-12.5044920848891,65.5333076333623,-1778.56465054106,4.917639564305908
883,68.0,632.7858064832599,5526.0219550358715,-325.5578055810328,56.10322574221844,-3.409807481965028,-17.6791811783814,-6.0294519764342285,65.54381508020617,-856.3981589071802,1.1433412372936107
884,68.0,1132.6556115030023,5500.8933998860075,765.2163019972999,97.85346417955645,-4.4495456011461485,-37.47723081316646,-31.255070631061088,65.60074016282171,-4465.193820854377,30.721141069498383
885,68.1,1427.0701140787396,5517.4219466014265,1398.0403168286423,104.62559676204607,-0.20453103011891668,-45.58328018182175,-39.44602140850472,65.70197033466688,-5647.907410166623,48.928334684892164
